title,short_description,footer,image_url,long_description,category
"The Career Kickstart","Interview-focused styling to help you land the role. Includes 'The Canadian Code' workshop.","From $250 CAD","https://images.unsplash.com/photo-1516259762107-2c9424a15a0c?q=80&w=2070&auto=format&fit=crop","This is a longer description for The Career Kickstart service. It provides more details about the service.","Newcomers"
"The Settlement Standard","A comprehensive capsule wardrobe for your first 30 days. Weather-smart and budget-conscious.","Inquire","https://images.unsplash.com/photo-1521737604893-d14cc237f11d?q=80&w=2070&auto=format&fit=crop","This is a longer description for The Settlement Standard service. It provides more details about the service.","Newcomers"
"The First Class Arrival","Premium Done-For-You service. We source your wardrobe before you even land.","Premium Bundle","https://images.unsplash.com/photo-1556740772-1a741367b93e?q=80&w=2070&auto=format&fit=crop","This is a longer description for The First Class Arrival service. It provides more details about the service.","Newcomers"
"The Tone Audit","Aligning your wardrobe with the promotion you want, not the job you have.","Consultation Based","https://images.unsplash.com/photo-1522202176988-66273c2fd55f?q=80&w=2070&auto=format&fit=crop","This is a longer description for The Tone Audit service. It provides more details about the service.","Professionals"
"The Event Edit","Virtual shopping & styling for Galas and Keynotes.","From $400 CAD","https://images.unsplash.com/photo-1505691938895-1758d7FEB5a1?q=80&w=2070&auto=format&fit=crop","This is a longer description for The Event Edit service. It provides more details about the service.","Professionals"
"The Showstopper","High-stakes styling for Emcees and VIP Guests.","From $600 CAD","https://images.unsplash.com/photo-1560439546-17b7b124a3a6?q=80&w=2070&auto=format&fit=crop","This is a longer description for The Showstopper service. It provides more details about the service.","Professionals"
"The OOO Edit","Vacation styling & packing strategy with in-person shopping.","Seasonal","https://images.unsplash.com/photo-1503220317375-903a94a5b7e8?q=80&w=2070&auto=format&fit=crop","This is a longer description for The OOO Edit service. It provides more details about the service.","Professionals"
"The Vision Blueprint","Strategy & Moodboard only. You handle the shopping.","$250 CAD","https://images.unsplash.com/photo-1522771739844-6a9f6d5f14aa?q=80&w=2070&auto=format&fit=crop","This is a longer description for The Vision Blueprint service. It provides more details about the service.","Weddings"
"The Bridal Signature","Full sourcing and styling for the Bride. Budget guaranteed.","$400 CAD","https://images.unsplash.com/photo-1587318634139-bbc10a314c33?q=80&w=2070&auto=format&fit=crop","This is a longer description for The Bridal Signature service. It provides more details about the service.","Weddings"
"The Power Couple","Complete styling for Bride & Groom to ensure visual harmony.","$600 CAD","https://images.unsplash.com/photo-1551893261-29497e883870?q=80&w=2070&auto=format&fit=crop","This is a longer description for The Power Couple service. It provides more details about the service.","Weddings"
"The Foundation","Group Masterclass on Color Theory & Archetypes.","Cohort Pricing","https://images.unsplash.com/photo-1552664730-d307ca884978?q=80&w=2070&auto=format&fit=crop","This is a longer description for The Foundation service. It provides more details about the service.","Corporate & Pageant"
"The Runway Edit","Masterclass on Lingerie, Silhouettes, and Event Strategy.","Cohort Pricing","https://images.unsplash.com/photo-1543269865-cbf427effbad?q=80&w=2070&auto=format&fit=crop","This is a longer description for The Runway Edit service. It provides more details about the service.","Corporate & Pageant"
"The Crown Circle","Exclusive 1:1 Mentorship for Top 10 participants.","VIP Upgrade","https://images.unsplash.com/photo-1556157382-97eda2d62296?q=80&w=2070&auto=format&fit=crop","This is a longer description for The Crown Circle service. It provides more details about the service.","Corporate & Pageant"
